
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2021-11-01   | 4323.77  | 61.91  | 2927.72  | 47.68  |           
2021-11-02   | 4593.46  | 67.50  | 2944.29  | 56.01  |           
2021-11-03   | 4606.23  | 67.74  | 2960.83  | 55.57  |           
2021-11-04   | 4537.75  | 64.95  | 2976.52  | 52.45  | YES       
2021-11-05   | 4493.00  | 63.13  | 2991.61  | 50.19  |           
2021-11-06   | 4522.26  | 63.84  | 3006.84  | 50.40  |           
2021-11-07   | 4595.38  | 65.64  | 3022.64  | 52.03  |           
2021-11-08   | 4811.71  | 70.33  | 3040.45  | 58.26  |           
2021-11-09   | 4681.59  | 64.62  | 3056.78  | 53.15  | YES       
2021-11-10   | 4633.57  | 62.59  | 3072.46  | 50.81  |           
2021-11-11   | 4722.64  | 64.79  | 3088.88  | 52.89  |           
2021-11-12   | 4670.15  | 62.46  | 3104.62  | 50.43  |           
2021-11-13   | 4617.64  | 60.13  | 3119.67  | 48.02  |           
2021-11-14   | 4628.40  | 60.45  | 3134.69  | 47.65  |           
2021-11-15   | 4564.08  | 57.43  | 3148.91  | 44.94  |           
2021-11-16   | 4210.74  | 44.33  | 3159.47  | 33.27  |           
2021-11-17   | 4291.64  | 47.29  | 3170.74  | 35.35  |           
2021-11-18   | 3992.14  | 39.01  | 3178.91  | 25.58  |           
2021-11-19   | 4299.79  | 48.91  | 3190.07  | 34.79  |           
2021-11-20   | 4415.38  | 52.06  | 3202.26  | 37.88  |           
2021-11-21   | 4264.35  | 47.90  | 3212.83  | 32.73  |           
2021-11-22   | 4091.42  | 43.61  | 3221.57  | 27.00  |           
2021-11-23   | 4341.85  | 50.52  | 3232.71  | 34.31  |           
2021-11-24   | 4271.43  | 48.72  | 3243.05  | 31.71  |           
2021-11-25   | 4526.07  | 54.99  | 3255.82  | 39.01  |           
2021-11-26   | 4044.74  | 44.03  | 3263.67  | 23.93  | YES       
2021-11-27   | 4100.02  | 45.37  | 3271.99  | 25.31  |           
2021-11-28   | 4299.50  | 50.04  | 3282.21  | 30.99  |           
2021-11-29   | 4447.69  | 53.24  | 3293.81  | 35.03  |           
2021-11-30   | 4631.96  | 56.94  | 3307.12  | 40.06  |           
2021-12-01   | 4587.83  | 55.80  | 3319.87  | 38.19  |           
2021-12-02   | 4514.87  | 53.89  | 3331.76  | 35.51  |           
2021-12-03   | 4220.52  | 46.89  | 3340.60  | 26.34  |           
2021-12-04   | 4124.83  | 44.85  | 3348.40  | 23.19  |           
2021-12-05   | 4200.93  | 46.83  | 3356.89  | 25.14  | YES       
2021-12-06   | 4355.30  | 50.70  | 3366.82  | 29.36  |           
2021-12-07   | 4310.12  | 49.56  | 3376.21  | 27.66  |           
2021-12-08   | 4440.76  | 52.85  | 3386.80  | 31.12  |           
2021-12-09   | 4106.20  | 44.80  | 3393.96  | 20.99  |           
2021-12-10   | 3901.22  | 40.70  | 3399.01  | 14.78  | YES       
2021-12-11   | 4089.49  | 45.62  | 3405.88  | 20.07  |           
2021-12-12   | 4134.57  | 46.76  | 3413.13  | 21.14  |           
2021-12-13   | 3784.61  | 39.79  | 3416.82  | 10.76  |           
2021-12-14   | 3861.98  | 41.85  | 3421.25  | 12.88  |           
2021-12-15   | 4020.79  | 45.95  | 3427.22  | 17.32  |           
2021-12-16   | 3956.77  | 44.58  | 3432.49  | 15.27  |           
2021-12-17   | 3877.80  | 42.90  | 3436.92  | 12.83  | YES       
2021-12-18   | 3961.91  | 45.27  | 3442.14  | 15.10  |           
